,T_remainpop,T_commuterpop,commercial_facility_count,subwayst_count,busst_count,분기당_매출_금액,2340대_매출금액,영업기간/서울평균,폐업기간/서울평균
1000342,2031.0,238.0,15.25,0.0,6.0,1493.728055,0.29513333,0.94,0.74
1000343,1804.0,44.0,4.75,0.0,1.75,14.78569425,0.00186606,0.93,0.88
1000345,2597.0,242.0,4.75,0.0,2.0,23.46945912,0.00409747,1.0,1.03
1000346,2925.0,439.0,38.5,0.0,10.0,218.6117842,0.04753548,1.0,0.91
1000348,3146.0,91.0,0.0,0.0,0.0,12.82021167,0.0035263,0.84,0.91
1000349,1822.0,56.0,12.75,0.0,3.0,21.83909083,0.00316415,0.9,0.88
1000350,1459.0,108.0,5.0,0.0,0.0,79.35966425,0.02054559,0.75,0.75
1000351,1768.0,36.0,8.25,0.0,0.0,1.847494,0.00061583,0.91,0.82
1000352,1852.0,136.0,32.25,0.75,2.25,273.8590471,0.06015148,1.04,0.95
1000353,1837.0,43.0,4.25,0.0,0.0,103.0575371,0.02178526,0.8,0.84
1000354,2327.0,177.0,6.5,0.0,3.5,7.24807825,0.00133151,0.86,0.91
1000355,1621.0,36.0,2.75,0.0,0.25,22.92201425,0.00220148,0.81,0.88
1000356,3371.0,74.0,5.75,0.0,2.5,107.385459,0.02036274,0.91,0.88
1000357,3777.0,597.0,2.25,0.0,1.0,7.02767875,0.00143032,0.85,0.86
1000358,2902.0,518.0,18.0,0.0,3.0,38.32040425,0.0064875,0.91,0.94
1000359,2467.0,276.0,6.0,0.0,1.25,79.53648438,0.01343894,0.77,0.91
1000360,4741.0,380.0,34.75,0.25,4.25,835.8817916,0.19673597,0.87,0.91
1000361,1742.0,73.0,7.5,0.0,6.25,27.47304625,0.0057533,1.02,0.94
1000362,3476.0,161.0,7.25,0.0,2.75,12.970953,0.00273471,0.86,0.84
1000363,702.0,342.0,5.5,0.0,3.25,95.1153535,0.02061885,0.87,0.9
1000364,1340.0,93.0,9.25,0.0,4.25,8.79311012,0.00172938,0.9,0.99
1000365,2972.0,244.0,15.75,0.0,9.25,90.93652675,0.02248081,0.98,0.95
1000366,1936.0,93.0,11.25,0.0,1.0,103.1411313,0.01931262,1.04,1.03
1000367,383.0,27.0,1.0,0.0,0.0,105.4984335,0.01116148,0.74,1.05
