neighbor_code,분기당_매출_금액,2340대_매출금액
1000473,179.3856021,0.03641222
1000474,32.23858167,0.00700225
1000475,271.9183788,0.05790675
1000476,102.1541798,0.03024378
1000477,832.6863376,0.15469239
1000478,11.14612129,0.00279498
1000479,53.9214493,0.01320634
1000480,365.6607698,0.08706818
1000481,195.8370084,0.05396989
1000482,64.02660469,0.01407216
1000483,462.5625787,0.12297894
1000484,61.5133835,0.01878858
1000485,571.5392814,0.16197316
1000487,191.66008,0.04749342
1000488,344.7289213,0.08715095
1000489,7.84648875,0.00130077
1000490,40.14890767,0.00600205
1000491,335.7038901,0.0899497
1000492,336.6947012,0.09000416
1000493,402.6365755,0.10642611
1000494,445.4275035,0.12548075
1000495,456.2689329,0.12964435
1000496,247.1177533,0.07109133
1000497,602.4941615,0.16686055
1000498,162.6095606,0.0434238
1000499,140.6603578,0.03215721
1000500,334.7389164,0.09066267
1000501,72.79595588,0.01900236
1000502,182.2380252,0.04800259
1000503,51.56849756,0.01152462
1000504,197.6338298,0.04802597
1000505,225.3042437,0.03089377
1000506,82.60931971,0.01863602
1000508,246.2338218,0.05545205
1000509,64.51571983,0.01498853
1000510,23.35316238,0.00478152
1000511,11.78965529,0.00302324
1000512,7.6834345,0.00184802
1000513,195.3572221,0.04155043
1000514,42.519399,0.01124992
1000515,82.3069975,0.022244
1000517,67.268564,0.01473679
1000518,198.7845626,0.04032747
1000519,210.4737322,0.0474115
1000520,102.4269558,0.02158484
1000521,229.9847843,0.05194409
1000522,322.8823548,0.06074347
1000523,28.63303842,0.00662988
1000524,6.2037025,0.00140523
1000525,16.66195175,0.00435881
1000526,68.18986312,0.01415695
1000527,6.06072486,0.00133518
1000528,7.52831775,0.00145025
1000529,33.6832535,0.00802312
1000530,2.2891372,0.00045417
1000531,264.2990098,0.05278866
1000532,108.7784497,0.01138928
1000533,167.7227037,0.03580435
1000534,270.0232008,0.04807268
1000535,84.4803235,0.0245899
1000536,4.14728667,0.00004522
1000537,39.24651988,0.01093868
1000539,145.9015926,0.03875492
1000540,186.9660364,0.04279116
1000541,118.6715854,0.02373255
1000542,39.7035715,0.01021656
1000543,96.48142619,0.02098748
1000544,65.554301,0.01383548
1000545,33.339596,0.00810698
1000547,183.7059235,0.04377897
1000549,86.37167367,0.02026818
1000550,19.9072725,0.00550678
1000551,166.9804926,0.03272243
1000552,9.76805367,0.00259969
1000553,30.3182905,0.00777529
1000554,21.68276725,0.00591295
1000556,55.94568562,0.01397961
1000557,44.991011,0.01268403
1000558,9.458021,0.00239951
1000559,321.3600356,0.07358706
1000560,56.24357075,0.01243458
1000561,66.52699655,0.01683891
1000562,7.16713975,0.00197886
1000563,72.858491,0.01967974
1000564,44.81304462,0.00889943
1000565,0,0
1000566,278.1069871,0.06232708
1000567,40.35617875,0.01017316
1000568,19.3374555,0.00505529
1000569,54.02540058,0.01198727
1000570,33.68786825,0.00965222
1000571,15.7743865,0.00420109
1000573,244.4968842,0.06163408
1000574,181.6575929,0.04109324
1000575,206.1117335,0.03878338
1000576,113.9878188,0.00953201
1000577,150.7236813,0.03959594
1000578,90.5251305,0.02135146
1000579,197.7615974,0.0537735
1000580,43.01487275,0.01012259
1000582,74.20898862,0.02135728
1000583,30.67719875,0.00730937
1000585,144.0511596,0.03196341
1000586,70.26837188,0.01721688
1000587,95.70203992,0.02185134
1000588,29.026266,0.00752786
1000589,336.0717608,0.06571204
1000590,30.748785,0.00671121
1000591,28.76925889,0.00700253
1000592,54.76490175,0.01263244
1000593,21.80162375,0.00514848
1000594,128.228451,0.03112487
1000595,47.680079,0.01215849
1000596,96.1392905,0.0228471
1000597,443.8599655,0.10425136
1000598,37.13961871,0.00875641
1000599,47.333692,0.01278685
